lf_acr;lf_ext;country;source
Sh.A.;Shoqëri Aksionere;Albania;WIKI
Sh.p.k.;Shoqëri me përgjegjësi të kufizuar;Albania;WIKI
;Shoqëri komandite;Albania;WIKI
;Shoqëri kolektive;Albania;WIKI
S.A.S|S.A.S;corporation|Sociedades de Acciones Simplificadas;Argentinia;WIKI
S.A.;Sociedad Anónima;Argentinia;WIKI
S.R.L.;Sociedad de Responsabilidad Limitada;Argentinia;WIKI
S.C.S.;Sociedad en Comandita Simple;Argentinia;WIKI
S.C.p.A.;Sociedad en Comandita por Acciones;Argentinia;WIKI
Soc.Col.;Sociedad Colectiva;Argentinia;WIKI
S.C.e I.;Sociedad de Capital e Industria;Argentinia;WIKI
S.E.;Sociedad del Estado;Argentinia;WIKI
S.G.R.;Sociedad de Garantía Reciproca;Argentinia;WIKI
LLP;Limited liability partnership;Australia;WIKI
ILP;Incorporated limited partnership;Australia;WIKI
Inc.;Incorporated;Australia;WIKI
Ltd.;Limited;Australia;WIKI
NL;No liability;Australia;WIKI
Pty. Ltd.;Proprietary Limited Company;Australia;WIKI
Pty.;Unlimited Proprietary;Australia;WIKI
Gen;Genossenschaft|Erwerbsgenossenschaft|Wirtschaftsgenossenschaft;Austria;WIKI
;Privatstiftung;Austria;WIKI
;Verein;Austria;WIKI
e.U.;eingetragenes Einzelunternehmen;Austria;WIKI
AG;Aktiengesellschaft;Austria;WIKI
GmbH;Gesellschaft mit beschränkter Haftung;Austria;WIKI
stG;stille Gesellschaft;Austria;WIKI
GesbR;Gesellschaft des bürgerlichen Rechts;Austria;WIKI
OG;offene Gesellschaft;Austria;WIKI
GmbH & Co. KG;;Austria;WIKI
ААТ;Адкрытае акцыянернае таварыства;Belarus;WIKI
ЗАТ;Закрытае ацыянернае таварыства;Belarus;WIKI
;Індывідуальны прадпрымальнік;Belarus;WIKI
ПУП;Прыватнае унітарнае прадпрыемства;Belarus;WIKI
ТАА;Таварыства з абмежаванай адказнасцю;Belarus;WIKI
ОАО;Открытое акционерное общество;Belarus;WIKI
ЗАО;Закрытое акционерное общество;Belarus;WIKI
;Индивидуальный предприниматель;Belarus;WIKI
ЧУП;Частное унитарное предприятие;Belarus;WIKI
ООО;Общество с ограниченной ответственностью;Belarus;WIKI
;private stichting;Belgium;WIKI
;stichting van openbaar nut;Belgium;WIKI
ESV;economisch samenwerkingsverband;Belgium;WIKI
;stille handelsvennootschap;Belgium;WIKI
;tijdelijke handelsvennootschap;Belgium;WIKI
VZW;vereniging zonder winstoogmerk;Belgium;WIKI
;vereniging in deelneming;Belgium;WIKI
;feitelijke vereniging;Belgium;WIKI
;eenmanszaak;Belgium;WIKI
VOF;vennootschap onder firma;Belgium;WIKI
Comm. V.;gewone commanditaire vennootschap;Belgium;WIKI
Comm. VA;commanditaire vennootschap op aandelen;Belgium;WIKI
BVBA;besloten vennootschap met beperkte aansprakelijkheid;Belgium;WIKI
EBVBA;eenpersoons besloten vennootschap met beperkte aansprakelijkheid;Belgium;WIKI
NV;Naamloze vennootschap;Belgium;WIKI
CVBA;coöperatieve vennootschap met beperkte aansprakelijkheid;Belgium;WIKI
CVOA;coöperatieve vennootschap met onbeperkte aansprakelijkheid;Belgium;WIKI
;fondation privée;Belgium;WIKI
;fondation d'utilité publique;Belgium;WIKI
GIE;groupement d'intérêt économique;Belgium;WIKI
;société interne;Belgium;WIKI
;société momentanée;Belgium;WIKI
ASBL;association sans but lucratif;Belgium;WIKI
SEP;société en participation;Belgium;WIKI
;société de fait;Belgium;WIKI
;entreprise individuelle;Belgium;WIKI
SNC;société en nom collectif;Belgium;WIKI
SCS;société en commandite simple;Belgium;WIKI
SCA;société en commandite par actions;Belgium;WIKI
SPRL;société privée à responsabilité limitée;Belgium;WIKI
SPRLU;société privée à responsabilité limitée unipersonnelle;Belgium;WIKI
SA;societé anonyme;Belgium;WIKI
SCRL;société coopérative à responsabilité limitée;Belgium;WIKI
SCRI;société coopérative à responsabilité illimitée;Belgium;WIKI
d.d.;dioničko društvo;Bosnia and Herzegovina;WIKI
a.d.;akcionarsko društvo;Bosnia and Herzegovina;WIKI
d.n.o.;društvo s neograničenom solidarnom odgovornošću;Bosnia and Herzegovina;WIKI
d.o.o.;društvo s ograničenom odgovornošću;Bosnia and Herzegovina;WIKI
k.d.;komanditno društvo;Bosnia and Herzegovina;WIKI
s.p.;samostalni preduzetnik;Bosnia and Herzegovina;WIKI
Ltda.;Sociedade limitada;Brazil;WIKI
S.A.;Sociedade anônima;Brazil;WIKI
;Sociedade simples;Brazil;WIKI
;Sociedade em comandita simples;Brazil;WIKI
;Sociedade em nome coletivo;Brazil;WIKI
;Sociedade em conta de participação;Brazil;WIKI
;Sociedade em comum;Brazil;WIKI
;Cooperativa;Brazil;WIKI
;Empresa individual|firma individual;Brazil;WIKI
EIRELI;Empresa Individual de Responsabilidade Limitada;Brazil;WIKI
;Micro empreendedor individual;Brazil;WIKI
;Empresa pública;Brazil;WIKI
;Sociedade de economia mista;Brazil;WIKI
;Associação em sentido estrito|sem finalidade lucrativa;Brazil;WIKI
;Organização não governamental;Brazil;WIKI
;Organização da sociedade civil de interesse público;Brazil;WIKI
;Organização social;Brazil;WIKI
;Serviços sociais autônomos;Brazil;WIKI
